aX,aY,aZ,gX,gY,gZ
-0.343,-0.942,-0.011,-0.183,2.808,3.174
-0.348,-0.935,-0.030,-0.427,2.136,3.845
-0.367,-0.933,-0.048,-1.465,3.296,3.479
-0.375,-0.961,-0.019,-5.310,9.094,5.249
-0.339,-0.963,0.040,-7.019,8.118,13.428
-0.339,-0.959,0.056,-1.160,1.892,11.597
-0.342,-0.963,0.023,-0.977,-2.258,5.005
-0.350,-0.966,-0.004,-8.179,0.793,0.183
-0.335,-0.945,0.021,-11.841,3.540,0.366

-0.328,-0.956,0.036,-7.935,1.404,0.549
-0.321,-0.958,0.056,-5.615,0.305,0.732
-0.290,-0.986,0.072,-3.113,-0.610,1.160
-0.369,-0.938,0.024,-4.944,-3.052,-1.099
-0.355,-0.933,0.024,-5.615,-1.526,-3.906
-0.337,-0.927,0.038,-2.441,1.404,-9.338
-0.355,-0.949,0.038,-1.038,1.831,-8.362
-0.357,-0.960,0.037,-2.441,0.977,-2.869
-0.349,-0.968,0.047,-2.136,1.404,0.977
-0.332,-0.982,0.058,2.991,0.427,2.625
-0.416,-0.935,0.019,2.747,-1.831,1.404
-0.381,-0.940,0.025,2.686,0.000,-1.038
-0.355,-0.958,0.063,0.854,2.380,-3.174
-0.366,-0.962,0.071,-0.183,-1.953,-0.122
-0.366,-0.932,0.050,-0.305,-3.052,-0.793
-0.320,-0.916,0.021,0.793,-2.502,-5.920
-0.370,-0.929,-0.002,-0.793,0.427,-6.348
-0.363,-0.928,0.028,-3.296,-0.427,1.160
-0.375,-0.938,0.055,-2.563,0.061,3.113
-0.367,-0.959,0.058,-2.869,2.991,3.845
-0.365,-0.954,0.051,-0.610,2.075,3.479
-0.375,-0.952,0.040,0.122,1.343,3.540
-0.362,-0.945,0.042,-2.380,1.709,2.502
-0.378,-0.926,0.018,-1.282,0.549,2.441
-0.401,-0.924,0.029,2.014,2.075,3.601
-0.412,-0.933,0.036,0.244,3.113,1.587
-0.360,-0.977,0.065,-1.160,3.540,-0.427
-0.324,-0.992,0.077,-1.465,3.296,-1.648
-0.325,-0.971,0.072,-1.038,1.831,-0.793
-0.356,-0.938,0.043,-1.160,3.113,-0.183
-0.400,-0.888,0.046,-0.427,3.357,0.427
-0.378,-0.901,0.057,1.160,0.732,2.441
-0.393,-0.902,0.060,1.221,2.258,3.601
-0.331,-0.966,0.083,-1.465,2.563,3.418
-0.326,-0.973,0.065,-0.366,2.197,3.479
-0.323,-0.991,0.069,1.404,1.892,3.784
-0.377,-0.930,0.050,0.854,2.563,3.235
-0.396,-0.913,0.065,1.709,1.282,2.747
-0.358,-0.972,0.047,-1.404,-2.258,0.977
-0.374,-0.955,0.063,-2.014,-0.793,0.732
-0.302,-0.971,0.082,-2.197,0.916,0.854
-0.336,-0.943,0.060,-0.488,-0.732,1.465
-0.329,-0.936,0.057,-1.282,-1.587,0.610
-0.392,-0.875,0.040,-3.235,-1.587,0.977
-0.413,-0.913,0.082,-3.052,0.000,4.761
-0.398,-0.910,0.075,0.610,-2.869,5.432
-0.339,-0.959,0.062,0.854,-3.113,4.883
-0.308,-0.996,0.060,-2.563,-0.122,3.357
-0.345,-0.956,0.058,-2.930,0.183,1.648
-0.357,-0.951,0.045,0.610,-2.197,1.343
-0.394,-0.905,0.023,0.793,-0.916,1.038
-0.349,-0.920,0.032,-2.686,0.549,1.404
-0.314,-0.992,0.061,-2.747,5.188,2.197
-0.281,-1.018,0.144,0.000,10.681,-1.343
-0.317,-0.946,0.079,-0.427,3.906,-6.836
-0.361,-0.906,0.060,-0.549,4.395,-4.028
-0.364,-0.935,0.089,0.061,4.639,-3.845
-0.364,-0.933,0.092,0.549,3.967,-4.456
-0.372,-0.937,0.093,1.404,3.418,-5.920
-0.375,-0.925,0.096,3.845,2.502,-6.592
-0.383,-0.935,0.099,5.005,1.526,-7.812
-0.400,-0.953,0.087,2.808,0.244,-5.920
-0.387,-0.927,0.083,0.061,0.244,-3.418
-0.368,-0.937,0.087,2.808,0.427,-3.845
-0.332,-0.979,0.090,6.348,0.244,-2.197
-0.403,-0.923,0.060,2.747,-1.404,0.732
-0.405,-0.915,0.038,2.136,-2.136,1.038
-0.396,-0.966,0.057,5.432,1.648,1.160
-0.382,-0.942,0.072,5.981,2.258,1.831
-0.396,-0.924,0.051,1.038,0.488,0.427
-0.389,-0.930,0.048,-1.404,1.709,0.671
-0.382,-0.940,0.070,1.709,2.869,0.366
-0.398,-0.925,0.057,1.770,2.197,-0.366
-0.394,-0.917,0.046,-0.671,3.662,0.244
-0.372,-0.928,0.072,0.244,5.859,0.916
-0.396,-0.949,0.068,1.831,1.221,-0.488
-0.409,-0.936,0.049,2.991,-1.343,-3.479
-0.423,-0.958,0.056,5.615,2.319,-7.690
-0.420,-0.948,0.072,7.080,6.165,-9.155
-0.408,-0.920,0.075,11.841,4.333,-5.737
-0.405,-0.908,0.078,13.062,2.258,-2.869
-0.416,-0.911,0.063,15.625,0.305,-1.099
-0.413,-0.906,0.055,13.611,1.404,0.366
-0.408,-0.911,0.039,13.428,2.686,0.916
-0.407,-0.904,0.020,13.611,3.906,3.540
-0.405,-0.921,0.023,18.738,3.052,4.578
-0.411,-0.934,0.026,17.212,0.732,3.174
-0.422,-0.919,-0.004,9.033,-2.502,0.549
-0.424,-0.921,-0.033,11.047,-0.183,0.122
-0.415,-0.928,-0.012,11.414,0.366,0.671
-0.420,-0.929,-0.015,8.667,-0.610,1.770
-0.425,-0.910,-0.030,2.686,1.160,1.160
-0.403,-0.918,-0.018,-1.282,2.808,-0.244
-0.406,-0.908,-0.038,-3.967,2.563,-0.549
-0.406,-0.909,-0.034,-0.916,4.089,1.099
-0.421,-0.955,0.001,-0.366,6.592,0.610
-0.417,-0.953,0.005,-2.197,6.165,-0.549
-0.413,-0.925,-0.008,-1.282,4.700,-0.671
-0.413,-0.919,-0.011,4.456,6.348,1.587
-0.407,-0.937,0.010,7.263,4.700,1.160

-0.421,-0.925,0.000,3.906,4.333,-0.488
-0.419,-0.923,0.002,-0.183,5.066,-0.854
-0.427,-0.918,-0.011,0.916,2.197,0.305
-0.445,-0.853,0.087,2.686,3.967,1.892
-0.437,-0.935,0.035,0.122,-0.854,-10.498
-0.437,-0.907,-0.051,-2.319,14.954,-2.075
-0.417,-0.907,-0.001,2.930,2.563,2.258
-0.421,-0.925,0.013,2.808,1.282,3.723
-0.422,-0.926,0.001,0.854,1.160,2.563
-0.439,-0.948,-0.006,2.014,0.366,2.075
-0.453,-0.960,-0.003,2.625,1.160,2.075
-0.393,-0.951,-0.006,3.967,1.526,0.916
-0.418,-0.925,-0.013,3.723,1.404,-0.061
-0.419,-0.908,-0.015,2.014,2.441,-0.916
-0.415,-0.914,-0.010,1.587,1.343,-1.831
-0.428,-0.927,-0.010,2.747,-0.183,-1.831
-0.425,-0.945,-0.013,2.686,0.732,-1.587
-0.429,-0.935,-0.007,0.671,2.563,-0.977
-0.375,-0.908,-0.011,1.404,2.136,0.122
-0.431,-0.909,-0.009,2.930,0.000,1.831
-0.432,-0.911,-0.021,1.038,1.343,1.038
-0.415,-0.912,-0.006,1.770,2.563,1.343
-0.421,-0.918,0.010,2.014,0.122,2.625
-0.466,-0.939,-0.003,0.183,-2.258,1.282
-0.405,-0.928,-0.045,-0.244,-1.587,0.671
-0.383,-0.911,-0.037,1.648,1.160,1.831
-0.429,-0.919,-0.021,2.136,1.953,2.625
-0.426,-0.922,-0.009,1.282,1.587,3.357
-0.418,-0.909,-0.001,1.160,-0.061,3.052
-0.432,-0.919,-0.037,1.587,-0.977,1.831
-0.426,-0.934,-0.041,0.305,3.662,2.441
-0.357,-0.934,-0.040,-0.061,5.127,0.305
-0.415,-0.916,-0.019,1.404,3.906,0.305
-0.409,-0.917,0.011,-2.747,3.052,-1.282
-0.459,-0.904,0.008,-1.343,0.549,0.183
-0.467,-0.923,-0.013,4.822,-2.441,2.136
-0.468,-0.893,-0.025,3.967,1.221,-0.061
-0.386,-0.917,-0.010,0.183,3.479,-3.967
-0.374,-0.937,-0.015,-0.305,2.014,0.916
-0.465,-0.922,-0.006,3.662,-0.061,4.761
-0.443,-0.894,-0.026,4.272,0.305,3.601
-0.475,-0.912,-0.037,4.456,1.465,4.395
-0.424,-0.940,-0.031,3.235,3.418,3.967
-0.436,-0.946,-0.007,-0.732,1.526,3.235
-0.362,-0.945,-0.001,-2.808,0.610,3.052
-0.405,-0.948,-0.004,-2.991,-1.221,0.061
-0.495,-0.935,-0.021,-4.517,-1.282,-0.977
-0.464,-0.925,-0.005,-4.578,0.977,-0.427
-0.471,-0.914,-0.019,-2.075,-0.061,1.404
-0.386,-0.878,-0.048,1.343,-0.488,3.906
-0.391,-0.902,-0.028,0.427,2.014,8.179
-0.338,-0.918,-0.009,-1.221,2.747,12.146
-0.409,-0.918,0.024,1.404,-2.319,11.414
-0.418,-0.928,-0.050,0.366,1.709,9.399
-0.451,-0.911,-0.034,0.183,7.690,16.418
-0.396,-0.936,0.001,3.113,3.662,19.226
-0.385,-0.954,-0.020,2.319,2.380,17.883
-0.569,-0.963,0.002,0.793,4.944,9.460
-0.420,-0.942,-0.017,2.747,4.272,-8.301
-0.377,-0.923,-0.040,4.333,3.845,5.798
-0.365,-0.928,-0.003,3.845,6.348,9.033
-0.389,-0.969,0.025,3.235,3.357,2.502
-0.374,-0.956,-0.004,3.174,0.732,6.226
-0.371,-0.954,-0.003,2.441,2.502,2.808
-0.361,-0.955,0.002,1.953,1.648,1.465
-0.395,-0.943,-0.017,0.427,-0.916,-0.061
-0.431,-0.939,-0.029,0.366,2.441,-0.610
-0.408,-0.956,0.001,0.854,2.686,0.244
-0.375,-0.955,-0.013,3.418,-0.244,0.488
-0.328,-0.939,-0.025,1.709,-0.122,0.366
-0.365,-0.942,-0.011,-0.916,0.488,-0.610
-0.369,-0.946,-0.011,0.244,-0.427,-0.366
-0.418,-0.932,-0.020,0.549,-1.160,-1.282
-0.422,-0.948,-0.017,0.305,-0.549,-2.625
-0.350,-0.949,-0.027,-0.671,1.160,-0.916
-0.345,-0.943,-0.008,2.319,1.160,1.282
-0.335,-0.926,-0.028,2.197,0.244,1.587
-0.372,-0.931,-0.015,0.793,0.854,1.404
-0.369,-0.935,-0.014,0.122,0.793,1.953
-0.427,-0.958,-0.028,0.183,1.221,3.479
-0.384,-0.960,-0.021,0.122,2.808,2.808
-0.312,-0.936,-0.019,0.488,2.319,2.686
-0.345,-0.927,-0.012,0.427,0.916,1.953
-0.352,-0.926,-0.035,1.221,0.000,0.732
-0.387,-0.944,-0.033,0.183,1.587,0.488
-0.366,-0.948,-0.010,-0.610,4.150,0.916
-0.372,-0.942,-0.007,0.671,2.808,1.709
-0.356,-0.940,-0.022,2.747,2.502,2.075
-0.320,-0.924,-0.018,1.099,3.540,2.014
-0.385,-0.942,-0.008,0.366,3.235,3.113
-0.445,-0.987,-0.006,-0.122,1.953,8.972
-0.395,-0.960,-0.009,1.343,1.404,10.620
-0.362,-0.950,-0.024,2.808,1.892,6.653
-0.349,-0.927,-0.012,2.380,3.540,4.150
-0.303,-0.925,-0.028,2.319,1.526,1.770
-0.333,-0.922,-0.045,0.549,2.136,2.136
-0.392,-0.957,-0.009,-0.244,4.456,2.197
-0.379,-0.954,0.007,-1.343,2.991,1.282
-0.402,-0.973,-0.012,0.061,0.671,1.099
-0.367,-0.961,-0.022,1.953,1.831,0.671

-0.354,-0.953,0.002,1.160,2.625,0.122
-0.310,-0.940,-0.011,0.488,1.099,-0.183
-0.361,-0.927,-0.029,0.549,2.380,0.000
-0.345,-0.921,-0.012,0.305,3.906,0.061
-0.405,-0.952,0.008,-0.061,2.319,0.732
-0.388,-0.969,-0.000,0.000,0.854,0.183
-0.352,-0.941,-0.012,-0.183,1.526,-0.854
-0.364,-0.956,-0.014,0.000,1.099,-1.648
-0.358,-0.952,-0.017,-0.305,0.366,-0.244
-0.393,-0.951,-0.012,-0.427,-0.061,-0.061
-0.408,-0.966,0.003,-1.160,1.343,-0.305
-0.422,-0.971,-0.009,0.977,0.366,-1.160
-0.360,-0.956,-0.021,2.319,2.258,-0.732
-0.332,-0.918,-0.008,2.258,3.540,0.305
-0.349,-0.915,-0.009,1.404,2.258,1.343
-0.364,-0.937,-0.023,0.305,2.380,-0.427
-0.415,-0.965,-0.004,0.122,4.211,0.183
-0.394,-0.971,0.001,1.587,3.357,0.916
-0.329,-0.951,-0.004,2.258,3.418,1.404
-0.330,-0.933,-0.001,1.709,2.930,0.061
-0.294,-0.905,0.104,0.061,0.671,-2.380
-0.412,-0.940,-0.031,1.587,-2.502,-9.216
-0.386,-0.932,-0.012,2.258,5.371,-3.845
-0.419,-0.943,0.000,3.906,2.502,0.732
-0.381,-0.951,-0.011,4.150,0.427,2.930
-0.381,-0.942,-0.020,2.258,2.502,1.587
-0.371,-0.948,-0.005,1.526,3.479,1.770
-0.379,-0.951,-0.001,0.854,1.892,1.099
-0.381,-0.938,-0.009,-1.038,2.258,0.549
-0.377,-0.940,-0.007,-1.831,2.441,0.732
-0.382,-0.940,-0.011,-2.930,2.869,-0.305
