aX,aY,aZ,gX,gY,gZ
-0.100,-0.025,0.967,1.221,1.892,1.831
-0.089,-0.018,0.968,1.221,1.709,1.709
-0.145,-0.048,0.961,1.282,1.709,1.831
-0.105,-0.010,0.961,1.099,2.197,1.709
-0.042,0.031,0.969,1.221,2.319,1.526
-0.045,0.030,0.974,1.038,2.319,1.343
-0.057,0.006,0.976,1.099,2.014,1.465
-0.127,-0.039,0.970,0.732,1.648,1.343
-0.136,-0.031,0.961,1.282,1.709,1.404
-0.127,-0.036,0.964,0.854,1.831,1.404
-0.072,0.017,0.972,1.160,1.892,1.526
-0.037,0.022,0.972,0.977,1.465,1.099
-0.095,-0.022,0.970,0.916,1.831,0.977
-0.083,-0.011,0.971,0.916,1.282,1.465
-0.100,-0.006,0.960,0.977,1.465,0.916
-0.094,-0.005,0.969,0.671,2.197,1.282
-0.088,-0.004,0.974,0.916,2.319,1.465
-0.086,-0.006,0.976,0.916,1.343,1.709
-0.093,-0.006,0.962,1.465,1.343,1.648
-0.094,-0.006,0.965,1.099,1.831,1.770
-0.069,0.004,0.967,1.343,2.014,1.770
-0.039,0.023,0.972,0.549,2.319,1.526
-0.103,-0.026,0.976,0.732,2.136,1.648
-0.143,-0.037,0.972,0.977,1.892,1.770
-0.096,0.006,0.970,0.671,1.038,1.648
-0.102,-0.005,0.961,1.282,1.221,2.075
-0.042,0.029,0.966,0.977,1.465,1.404
-0.072,-0.001,0.969,0.916,2.014,1.404
-0.140,-0.046,0.969,0.671,2.197,1.343
-0.132,-0.040,0.972,1.099,1.831,1.404
-0.137,-0.026,0.964,1.221,1.404,1.221
-0.061,0.026,0.967,1.221,1.587,1.404
-0.045,0.022,0.971,0.671,1.709,1.770
-0.039,0.029,0.979,0.671,1.465,1.465
-0.096,-0.026,0.971,1.282,0.977,1.587
-0.149,-0.042,0.960,0.916,1.160,1.770
-0.101,0.003,0.958,1.038,1.404,1.770
-0.108,-0.004,0.956,1.160,1.831,1.892
-0.094,-0.005,0.966,0.916,2.075,1.770
-0.089,-0.008,0.971,0.977,2.502,1.526
-0.089,-0.011,0.974,1.038,1.709,0.916
-0.095,-0.004,0.966,1.831,1.892,0.793
-0.093,-0.001,0.966,0.793,1.770,1.038
-0.097,-0.002,0.962,0.977,1.465,0.732
-0.092,-0.006,0.971,0.793,2.441,1.099
-0.090,-0.001,0.974,0.854,2.075,1.099
-0.093,-0.000,0.969,0.916,1.709,1.343
-0.098,-0.000,0.965,1.038,1.404,1.709
-0.096,-0.003,0.964,1.221,1.587,2.075
-0.090,-0.008,0.962,1.282,1.648,1.953
-0.088,-0.011,0.964,0.732,2.014,1.526
-0.093,-0.002,0.968,0.854,2.197,1.526
-0.096,0.004,0.971,1.099,2.380,1.465
-0.098,-0.000,0.969,0.916,2.075,2.380
-0.091,-0.007,0.973,1.343,2.014,2.319
-0.092,-0.010,0.968,1.282,1.709,2.014
-0.094,-0.010,0.964,1.282,1.953,1.831
-0.111,-0.023,0.971,0.732,2.197,1.526
-0.093,-0.021,0.977,1.221,2.197,1.404
-0.144,-0.046,0.970,1.221,1.465,1.648
-0.104,-0.001,0.964,1.404,1.404,1.404
-0.105,-0.006,0.962,0.671,1.465,1.770
-0.094,-0.000,0.962,0.732,1.831,1.282
-0.094,-0.000,0.964,0.793,2.075,1.526
-0.093,-0.003,0.966,0.916,1.953,1.709
-0.091,-0.006,0.966,1.526,2.319,1.892
-0.095,-0.006,0.970,1.038,2.502,1.953
-0.090,-0.006,0.976,1.404,2.136,1.892
-0.037,0.022,0.977,1.282,1.465,1.892
-0.102,-0.025,0.974,1.282,1.526,1.282
-0.089,-0.016,0.969,1.221,0.610,1.953
-0.152,-0.049,0.952,1.221,0.977,1.282
-0.109,-0.008,0.953,1.160,2.625,1.404
-0.087,-0.008,0.974,0.549,2.686,1.282
-0.088,-0.007,0.981,0.916,2.380,0.671
-0.094,-0.004,0.971,1.648,1.526,1.038
-0.098,0.002,0.964,1.465,1.648,1.404
-0.094,-0.003,0.965,0.977,2.014,1.526
-0.087,-0.007,0.971,1.526,1.831,1.526
-0.071,0.019,0.966,1.770,1.587,1.465
-0.043,0.030,0.967,2.563,1.892,1.831
-0.040,0.025,0.963,2.441,2.136,1.892
-0.085,-0.022,0.966,1.953,2.625,1.404
-0.145,-0.050,0.965,1.831,2.625,1.282
-0.097,-0.008,0.976,0.977,2.563,1.282
-0.094,-0.005,0.981,0.610,2.197,1.709
-0.096,-0.005,0.977,0.610,1.282,2.014
-0.090,-0.009,0.966,0.916,1.038,2.014
-0.085,-0.012,0.965,0.610,1.160,1.831
-0.089,-0.009,0.959,1.099,1.404,1.465
-0.088,-0.010,0.960,1.038,1.892,1.709
-0.090,-0.007,0.965,0.854,2.136,1.648

-0.094,-0.004,0.969,0.977,2.441,1.709
-0.091,-0.005,0.975,0.793,2.441,2.258
-0.090,-0.008,0.975,1.099,1.892,2.319
-0.095,-0.009,0.971,1.282,1.648,2.380
-0.087,-0.013,0.970,1.099,1.587,2.014
-0.088,-0.018,0.961,1.465,1.465,0.916
-0.093,-0.014,0.963,0.244,2.197,0.916
-0.091,-0.007,0.972,0.854,1.709,0.671
-0.095,-0.007,0.970,1.160,1.892,0.732
